product_id,category,brand_name,api_name,formulation_name,dose_strength,dosing_interval,route,main_indication,technology_class,market_status,search_terms,include_flag,notes
LAI_001,LAI antipsychotic,Risperdal Consta,Risperidone,Risperidone extended-release microspheres,"12.5, 25, 37.5, 50 mg",Every 2 weeks,IM,Schizophrenia; bipolar I maintenance,PLGA microspheres,Marketed,Risperdal Consta; risperidone microspheres; risperidone long acting injection,Yes,Core marketed LAI antipsychotic
LAI_002,LAI antipsychotic,Rykindo,Risperidone,Risperidone extended-release injectable suspension,"12.5, 25, 37.5, 50 mg",Every 2 weeks,IM,Schizophrenia; bipolar I maintenance,Extended-release injectable suspension,Marketed,Rykindo; risperidone extended-release injectable suspension,Yes,Core marketed LAI antipsychotic
LAI_003,LAI antipsychotic,Perseris,Risperidone,Risperidone extended-release SC injection,"90, 120 mg",Monthly,SC,Schizophrenia,In-situ forming depot,Marketed,Perseris; risperidone extended-release subcutaneous injection,Yes,Monthly SC risperidone depot
LAI_004,LAI antipsychotic,Uzedy,Risperidone,Risperidone extended-release SC injection,"50, 75, 100, 125, 150, 200, 250 mg",Monthly or every 2 months,SC,Schizophrenia; bipolar I maintenance,Extended-release SC depot,Marketed,Uzedy; risperidone extended-release injectable suspension,Yes,Monthly and every-2-month risperidone product
LAI_005,LAI antipsychotic,Okedi,Risperidone,Risperidone prolonged-release injection,"75, 100 mg",Monthly,IM,Schizophrenia,Prolonged-release injection,Marketed,Okedi; risperidone prolonged-release injection,Yes,European risperidone LAI
LAI_006,LAI antipsychotic,Invega Sustenna / Xeplion / Palmeux,Paliperidone palmitate,Paliperidone palmitate 1-month,"39, 78, 117, 156, 234 mg; EU strengths may be expressed differently",Monthly,IM,Schizophrenia; schizoaffective disorder in some labels,Poorly soluble ester injectable suspension,Marketed,paliperidone palmitate; Invega Sustenna; Xeplion; Palmeux; PP1M,Yes,1-month paliperidone palmitate LAI
LAI_007,LAI antipsychotic,Invega Trinza / Trevicta,Paliperidone palmitate,Paliperidone palmitate 3-month,"273, 410, 546, 819 mg",Every 3 months,IM,Schizophrenia after stabilisation on 1-month paliperidone,Poorly soluble ester injectable suspension,Marketed,Invega Trinza; Trevicta; paliperidone palmitate 3-month; PP3M,Yes,3-month paliperidone palmitate LAI
LAI_008,LAI antipsychotic,Invega Hafyera / Byannli,Paliperidone palmitate,Paliperidone palmitate 6-month,"1092, 1560 mg",Every 6 months,IM,Schizophrenia after stabilisation,Poorly soluble ester injectable suspension,Marketed,Invega Hafyera; Byannli; paliperidone palmitate 6-month; PP6M,Yes,6-month paliperidone palmitate LAI
LAI_009,LAI antipsychotic,Abilify Maintena,Aripiprazole,Aripiprazole monohydrate LAI,"300, 400 mg",Monthly,IM,Schizophrenia; bipolar I maintenance,Long-acting injectable suspension,Marketed,Abilify Maintena; aripiprazole monohydrate long acting,Yes,Monthly aripiprazole LAI
LAI_010,LAI antipsychotic,Abilify Asimtufii,Aripiprazole,Aripiprazole LAI,"720, 960 mg",Every 2 months,IM,Schizophrenia; bipolar I maintenance,Long-acting injectable suspension,Marketed,Abilify Asimtufii; aripiprazole 2 month injection,Yes,Every-2-month aripiprazole LAI
LAI_011,LAI antipsychotic,Aristada,Aripiprazole lauroxil,Aripiprazole lauroxil LAI,"441, 662, 882, 1064 mg","Monthly, every 6 weeks, or every 2 months",IM,Schizophrenia,Long-acting prodrug injectable suspension,Marketed,Aristada; aripiprazole lauroxil,Yes,Aripiprazole lauroxil LAI
LAI_012,LAI antipsychotic,Aristada Initio,Aripiprazole lauroxil,Aripiprazole lauroxil initiation injection,675 mg,One-time initiation,IM,Initiation of Aristada,Long-acting prodrug injectable suspension,Marketed,Aristada Initio; aripiprazole lauroxil initiation,Maybe,"Initiation product, analyse separately"
LAI_013,LAI antipsychotic,Zyprexa Relprevv / Zypadhera,Olanzapine pamoate,Olanzapine pamoate LAI,"150, 210, 300, 405 mg",Every 2 or 4 weeks,IM,Schizophrenia,Poorly soluble salt injectable suspension,Marketed,Zyprexa Relprevv; Zypadhera; olanzapine pamoate,Yes,Olanzapine depot
LAI_014,Peptide / endocrine depot,Sandostatin LAR Depot,Octreotide acetate,Octreotide LAR,"10, 20, 30 mg",Every 4 weeks,IM,Acromegaly; carcinoid syndrome; VIPoma,PLGA microspheres,Marketed,Sandostatin LAR; octreotide LAR; octreotide long acting release,Yes,Core peptide depot comparator
LAI_015,Peptide / endocrine depot,Oczyesa / CAM2029,Octreotide,Octreotide SC depot,20 mg,Every 4 weeks,SC,Acromegaly,Lipid liquid-crystal depot,Marketed / regional,Oczyesa; CAM2029; octreotide subcutaneous depot; octreotide FluidCrystal,Yes,Highly relevant to Innovarus octreotide programme
